1202 - 1 for period 13 to 24
1202,13, Payment - GL,460,02/07/2012,99500,,Star Coffee, Coffee,Milk,Sugar,
1202,13, Payment - GL,465,02/07/2012,266200,,Staff Lunch c/o Ms Nabagereke,
1202,14, Payment - GL,1354,13/08/2012,106900,,Milk, Tea, Sugar and Coffee,
1202,14, Payment - GL,1026,14/08/2012,178800,,Staff Lunch ,
1202,14, Payment - GL,1031,15/08/2012,176800,,Staff Lunch ,
1202,14, Payment - GL,1041,17/08/2012,347600,,Staff Lunch ,
1202,14, Payment - GL,1047,18/08/2012,148200,,Staff Lunch ,
1202,14, Payment - GL,1053,20/08/2012,262000,,Staff Lunch ,
1202,14, Payment - GL,1349,20/08/2012,108500,,Disposal Glass,
1202,14, Payment - GL,1343,21/08/2012,14000,,Ban Coffee,
1202,14, Payment - GL,1345,21/08/2012,176800,,Staff lunch,
1202,14, Payment - GL,1063,22/08/2012,180800,,Staff Lunch ,
1202,14, Payment - GL,1070,23/08/2012,182800,,Staff Lunch ,
1202,14, Payment - GL,1072,23/08/2012,53000,,Cooking gas,
1202,14, Payment - GL,1083,24/08/2012,187800,,Staff Lunch ,
1202,14, Payment - GL,1091,25/08/2012,150800,,Staff Lunch ,
1202,14, Payment - GL,1098,27/08/2012,288600,,Staff Lunch ,
1202,14, Payment - GL,1341,27/08/2012,99000,,Tea, Milk, Sugar,
1202,14, Payment - GL,1112,28/08/2012,177800,,Staff Lunch ,
1202,14, Payment - GL,1121,29/08/2012,180800,,Staff Lunch ,
1202,14, Payment - GL,1130,30/08/2012,194400,,Staff Lunch ,
1202,14, Payment - GL,1140,31/08/2012,176800,,Staff Lunch ,
1202, 14, Period Total,,,5614900
1202,15, Payment - GL,1159,01/09/2012,152800,,Staff Lunch ,
1202,15, Payment - GL,1165,03/09/2012,271000,,Staff Lunch ,
1202,15, Payment - GL,1406,03/09/2012,109300,,Milk Tea Sugar Coffee Match Box,
1202,15, Payment - GL,1172,04/09/2012,179800,,Staff Lunch ,
1202,15, Payment - GL,1182,05/09/2012,172800,,Staff Lunch ,
1202,15, Payment - GL,1188,06/09/2012,174800,,Staff Lunch ,
1202,15, Payment - GL,1191,07/09/2012,168800,,Staff Lunch ,
1202,15, Payment - GL,1197,08/09/2012,154800,,Staff Lunch ,
1202,15, Payment - GL,1203,10/09/2012,108500,,Star coffee, Igara Tea, Sugar, Milk,
1202,15, Payment - GL,1208,10/09/2012,285000,,Staff Lunch ,
1202,15, Payment - GL,1214,11/09/2012,192800,,Staff Lunch ,
1202,15, Payment - GL,1220,12/09/2012,178800,,Staff Lunch ,
1202,15, Payment - GL,1231,13/09/2012,182800,,Staff Lunch ,
1202,15, Payment - GL,1234,14/09/2012,185900,,Staff lunch ,
1202,15, Payment - GL,1240,15/09/2012,146800,,Staff lunch,
1202,15, Payment - GL,1244,15/09/2012,14000,,Coffee,
1202,15, Payment - GL,1255,17/09/2012,289200,,Staff Lunch ,
1202,15, Payment - GL,1410,17/09/2012,90000,,Sugar Milk ,
1202,15, Payment - GL,1411,17/09/2012,10000,,Salt,
1202,15, Payment - GL,1257,18/09/2012,189800,,Staff Lunch ,
1202,15, Payment - GL,1266,19/09/2012,208800,,Staff Lunch ,
1202,15, Payment - GL,1270,20/09/2012,201000,,Staff Lunch ,
1202,15, Payment - GL,1278,21/09/2012,193800,,Staff Lunch ,
1202,15, Payment - GL,1290,22/09/2012,154800,,Staff Lunch ,
1202,15, Payment - GL,1292,24/09/2012,310000,,Staff Lunch ,
1202,15, Payment - GL,1333,24/09/2012,127300,,Coffee, Tea, Sugar, Milk,
1202,15, Payment - GL,1299,25/09/2012,210000,,Staff Lunch ,
1202,15, Payment - GL,1303,26/09/2012,200600,,Staff Lunch ,
1202,15, Payment - GL,1307,26/09/2012,51000,,Gas,
1202,15, Payment - GL,1314,27/09/2012,200800,,Staff Lunch ,
1202,15, Payment - GL,1322,28/09/2012,196200,,Staff Lunch ,
1202,15, Payment - GL,1331,29/09/2012,152300,,Staff Lunch ,
1202, 15, Period Total,,,5464300
1202,16, Payment - GL,1421,01/10/2012,292200,,Staff meals C/O Erina,
1202,16, Payment - GL,1424,01/10/2012,199200,,Staff Lunch ,
1202,16, Payment - GL,1431,03/10/2012,211200,,Staff Lunch,
1202,16, Payment - GL,1446,04/10/2012,191600,,Staff Meals,
1202,16, Payment - GL,1453,05/10/2012,217600,,Staff Lunch,
1202,16, Payment - GL,1465,06/10/2012,146800,,Staff Meals,
1202,16, Payment - GL,1470,08/10/2012,276000,,Staff meals,
1202,16, Payment - GL,1477,08/10/2012,108500,,Sugar MIlk Coffee,
1202,16, Payment - GL,1483,10/10/2012,331600,,Staff Lunch,
1202,16, Payment - GL,1497,11/10/2012,176800,,Staff meals ,
1202,16, Payment - GL,1509,12/10/2012,180800,,Staff Lunch,
1202,16, Payment - GL,1523,13/10/2012,146800,,Staff Lunch,
1202,16, Payment - GL,1529,15/10/2012,271000,,Staff meals,
1202,16, Payment - GL,1535,15/10/2012,108300,,Tea, Coffee, Milk, Sugar,
1202,16, Payment - GL,2131,16/10/2012,176800,,Staff meals,
1202,16, Payment - GL,1545,17/10/2012,180800,,Staff meals,
1202,16, Payment - GL,1560,18/10/2012,185800,,Staff lunch c/o Erina,
1202,16, Payment - GL,1571,19/10/2012,14000,,Coffee,
1202,16, Payment - GL,1573,19/10/2012,170800,,Staff Lunch,
1202,16, Payment - GL,1584,20/10/2012,158800,,Staff Lunch,
1202,16, Payment - GL,1591,22/10/2012,104600,,Sugar, Milk and Coffee,
1202,16, Payment - GL,1594,22/10/2012,8000,,Match Box,
1202,16, Payment - GL,1597,22/10/2012,267000,,Staff meals,
1202,16, Payment - GL,1600,23/10/2012,186000,,Staff Lunch,
1202,16, Payment - GL,1612,24/10/2012,185300,,Staff Meals,
1202,16, Payment - GL,1623,25/10/2012,191300,,Staff Lunch,
1202,16, Payment - GL,2130,26/10/2012,152800,,Staff meals,
1202,16, Payment - GL,1641,27/10/2012,147800,,Staff meals ,
1202,16, Payment - GL,1650,29/10/2012,285000,,Staff Lunch,
1202,16, Payment - GL,1655,29/10/2012,109100,,Coffee, Tea, Kakira, MIlk,
1202,16, Payment - GL,1676,31/10/2012,370700,,Staff meals,
1202, 16, Period Total,,,5753000
1202,17, Payment - GL,1682,01/11/2012,179400,,Staff meals ,
1202,17, Payment - GL,1695,02/11/2012,174800,,Staff meals,
1202,17, Payment - GL,1702,03/11/2012,159800,,Staff meals,
1202,17, Payment - GL,1707,05/11/2012,279000,,Staff meals,
1202,17, Payment - GL,1711,05/11/2012,46500,,MIlk,
1202,17, Payment - GL,1712,05/11/2012,72300,,Tea, Coffee and Sugar,
1202,17, Payment - GL,1714,06/11/2012,175800,,Staff Lunch ,
1202,17, Payment - GL,1722,07/11/2012,180000,,Staff meals,
1202,17, Payment - GL,1728,08/11/2012,179400,,Erina,
1202,17, Payment - GL,1736,09/11/2012,174800,,Staff LUnch,
1202,17, Payment - GL,1737,09/11/2012,53000,,Cooking Gas,
1202,17, Payment - GL,1751,10/11/2012,140800,,Staff LUnch,
1202,17, Payment - GL,1757,12/11/2012,104300,,Coffee, Milk, Sugar,
1202,17, Payment - GL,1759,12/11/2012,268200,,Staff meals,
1202,17, Payment - GL,1769,13/11/2012,178800,,Staff meals,
1202,17, Payment - GL,1774,14/11/2012,178000,,Staff meals,
1202,17, Payment - GL,1781,15/11/2012,172800,,Staff meals,
1202,17, Payment - GL,1792,16/11/2012,173800,,STaff meals ,
1202,17, Payment - GL,1802,17/11/2012,154800,,Staff Lunch,
1202,17, Payment - GL,1809,19/11/2012,269000,,Staff meals,
1202,17, Payment - GL,1817,20/11/2012,174800,,Staff meals,
1202,17, Payment - GL,1827,21/11/2012,176800,,STaff meals,
1202,17, Payment - GL,1844,22/11/2012,175400,,Staff meals,
1202,17, Payment - GL,1855,23/11/2012,173800,,staff meals,
1202,17, Payment - GL,1865,24/11/2012,154800,,Staff meals,
1202,17, Payment - GL,1873,26/11/2012,305400,,Staff meals,
1202,17, Payment - GL,1876,26/11/2012,107700,,Milk Coffee Tea Sugar,
1202,17, Payment - GL,2102,26/11/2012,700,,Match box,
1202,17, Payment - GL,1885,27/11/2012,178400,,Staff meals,
1202,17, Payment - GL,1888,28/11/2012,182800,,Staff meals,
1202,17, Payment - GL,1897,29/11/2012,182800,,Staff Lunch,
1202,17, Payment - GL,1903,30/11/2012,162800,,Staff LUnch,
1202,17, Payment - GL,1909,30/11/2012,14000,,Coffee ,
1202, 17, Period Total,,,5305500
1202,18, Payment - GL,1913,01/12/2012,150800,,Staff Meals,
1202,18, Payment - GL,1921,03/12/2012,280000,,Staff Lunch ,
1202,18, Payment - GL,1925,03/12/2012,104800,,Coffee, Sugar,Milk,
1202,18, Payment - GL,1936,04/12/2012,176800,,Staff meals,
1202,18, Payment - GL,1943,05/12/2012,180800,,Staff Lunch,
1202,18, Payment - GL,1949,06/12/2012,180800,,Staff Lunch,
1202,18, Payment - GL,1956,08/12/2012,332200,,Staff meals ,
1202,18, Payment - GL,1973,10/12/2012,104900,,Tea Leaves, MIlk, Sugar,
1202,18, Payment - GL,1975,11/12/2012,467800,,Staff meals ,
1202,18, Payment - GL,1979,12/12/2012,173400,,Staff meals,
1202,18, Payment - GL,1984,12/12/2012,55000,,Cooking Gas,
1202,18, Payment - GL,1991,13/12/2012,176800,,Staff meals,
1202,18, Payment - GL,2001,14/12/2012,170800,,Staff meals,
1202,18, Payment - GL,2007,15/12/2012,141800,,Staff meals,
1202,18, Payment - GL,2014,17/12/2012,114600,,Coffee, Tea, Sugar, Milk,
1202,18, Payment - GL,2018,17/12/2012,285000,,Staff Lunch,
1202,18, Payment - GL,2027,18/12/2012,182800,,Staff meals ,
1202,18, Payment - GL,2031,19/12/2012,177800,,Staff Lunch c/o ERINA,
1202,18, Payment - GL,2036,20/12/2012,188800,,Staff Lunch,
1202,18, Payment - GL,2044,21/12/2012,170800,,Staff Lunch,
1202,18, Payment - GL,2051,22/12/2012,142400,,Staff LUnch,
1202,18, Payment - GL,2053,24/12/2012,255000,,Staff Lunch,
1202,18, Payment - GL,2055,24/12/2012,115600,,Milk, Tea, SUgar, Coffee,
1202,18, Payment - GL,2059,27/12/2012,276000,,Staff meals,
1202,18, Payment - GL,2073,28/12/2012,169800,,Staff Lunch,
1202,18, Payment - GL,2075,29/12/2012,154800,,Staff meals,
1202,18, Payment - GL,2078,31/12/2012,271600,,Staff Lunch,
1202,18, Payment - GL,2083,31/12/2012,107600,,Milk, Sugar, Coffee,
1202, 18, Period Total,,,5309300
1202,19, Payment - GL,2140,02/01/2013,287000,,Staff meals,
1202,19, Payment - GL,2153,03/01/2013,180800,,Staff meals,
1202,19, Payment - GL,2162,04/01/2013,179800,,Staff meals,
1202,19, Payment - GL,2177,05/01/2013,158800,,Staff Lunch ,
1202,19, Payment - GL,2178,07/01/2013,140200,,Milk, Sugar,Tea,,
1202,19, Payment - GL,2188,07/01/2013,280000,,Staff Lunch,
1202,19, Payment - GL,2194,08/01/2013,172800,,Staff meals,
1202,19, Payment - GL,2209,09/01/2013,183400,,Staff meals,
1202,19, Payment - GL,2211,10/01/2013,176400,,Staff meals,
1202,19, Payment - GL,2223,11/01/2013,178800,,staff meals,
1202,19, Payment - GL,2229,12/01/2013,153400,,Staff meals,
1202,19, Payment - GL,2237,14/01/2013,94800,,MIlk, Sugar,
1202,19, Payment - GL,2238,14/01/2013,11700,,COffee,
1202,19, Payment - GL,2253,14/01/2013,282200,,Staff meals,
1202,19, Payment - GL,2262,15/01/2013,182400,,Staff Lunch,
1202,19, Payment - GL,2268,16/01/2013,184800,,Staff Lunch,
1202,19, Payment - GL,2282,17/01/2013,181400,,Staff Lunch,
1202,19, Payment - GL,2293,18/01/2013,192400,,staff Lunch,
1202,19, Payment - GL,2309,19/01/2013,124400,,Staff meals,
1202,19, Payment - GL,2311,21/01/2013,293000,,Staff meals ,
1202,19, Payment - GL,2314,21/01/2013,700,,Match Boxes,
1202,19, Payment - GL,2416,21/01/2013,45000,,Milk,
1202,19, Payment - GL,2417,21/01/2013,64000,,Coffee, sugar,
1202,19, Payment - GL,2318,22/01/2013,178400,,Staff Lunch ,
1202,19, Payment - GL,2324,23/01/2013,175400,,Staff LUnch,
1202,19, Payment - GL,2334,24/01/2013,185400,,Staff Lunch,
1202,19, Payment - GL,2346,25/01/2013,179400,,Staff Lunch,
1202,19, Payment - GL,2364,26/01/2013,159400,,Staff Lunch,
1202,19, Payment - GL,2367,28/01/2013,84000,,Cooking Gas, GAs Burner,
1202,19, Payment - GL,2374,28/01/2013,104700,,Coffee, MIlk, Sugar,
1202,19, Payment - GL,2384,28/01/2013,281000,,Staff LUnch,
1202,19, Payment - GL,2389,29/01/2013,177400,,Staff Lunch,
1202,19, Payment - GL,2403,30/01/2013,179400,,Staff Lunch,
1202,19, Payment - GL,2414,31/01/2013,175400,,Staff Lunch,
1202, 19, Period Total,,,5628100
1202,20, Payment - GL,2426,01/02/2013,182800,,Staff Lunch,
1202,20, Payment - GL,2440,02/02/2013,162800,,Staff Lunch,
1202,20, Payment - GL,2452,04/02/2013,292800,,Staff LUnch,
1202,20, Payment - GL,2454,04/02/2013,106300,,Coffee, MIlk, Sugar,
1202,20, Payment - GL,2467,05/02/2013,184200,,Staff LUnch,
1202,20, Payment - GL,2482,06/02/2013,185300,,Staff LUnch,
1202,20, Payment - GL,2492,07/02/2013,183400,,Staff Lunch,
1202,20, Payment - GL,2502,08/02/2013,187400,,Staff lunch,
1202,20, Payment - GL,2516,09/02/2013,161300,,Staff Lunch,
1202,20, Payment - GL,2527,11/02/2013,284100,,Staff LUnch,
1202,20, Payment - GL,2722,11/02/2013,113300,,Coffee, Tea, Sugar, MIlk,
1202,20, Payment - GL,2535,12/02/2013,176800,,Staff Lunch,
1202,20, Payment - GL,2550,13/02/2013,200300,,Staff Lunch,
1202,20, Payment - GL,2559,14/02/2013,174800,,Staff Lunch ,
1202,20, Payment - GL,2567,15/02/2013,179300,,Staff Lunch,
1202,20, Payment - GL,2570,15/02/2013,3500,,Sugar ,
1202,20, Payment - GL,2582,16/02/2013,152800,,Staff Meals,
1202,20, Payment - GL,2590,18/02/2013,284200,,Staff Lunch,
1202,20, Payment - GL,2594,18/02/2013,115500,,Tea, Coffee , SUgar, milk,
1202,20, Payment - GL,2606,19/02/2013,179400,,Staff Lunch,
1202,20, Payment - GL,2608,20/02/2013,179900,,Staff Lunch,
1202,20, Payment - GL,2616,21/02/2013,183400,,Stafff Lunch,
1202,20, Payment - GL,2621,22/02/2013,192400,,Stafff LUnch,
1202,20, Payment - GL,2639,23/02/2013,158800,,Staff Lunch,
1202,20, Payment - GL,2718,23/02/2013,4800,,milk,
1202,20, Payment - GL,2647,25/02/2013,118000,,Coffee, Tea, Milk, Sugar,
1202,20, Payment - GL,2662,26/02/2013,460900,,Staff Lunch,
1202,20, Payment - GL,2675,27/02/2013,195900,,Staff Lunch,
1202,20, Payment - GL,2678,28/02/2013,180800,,Staff LUnch,
1202, 20, Period Total,,,5185200
1202,21, Payment - GL,2724,01/03/2013,186400,,Staff Lunch,
1202,21, Payment - GL,2738,02/03/2013,152800,,Staff Lunch,
1202,21, Payment - GL,2748,04/03/2013,118300,,Coffee, Tea, Sugar and MIlk,
1202,21, Payment - GL,2753,05/03/2013,286200,,Staff Lunch,
1202,21, Payment - GL,2754,05/03/2013,193800,,Staff Lunch,
1202,21, Payment - GL,2771,06/03/2013,176800,,Staff Lunch,
1202,21, Payment - GL,2781,07/03/2013,178400,,Staff Lunch,
1202,21, Payment - GL,2789,08/03/2013,60000,,Cooking Gas and cylinder,
1202,21, Payment - GL,2792,08/03/2013,180800,,Staff meals ,
1202,21, Payment - GL,2801,09/03/2013,158800,,Staff LUnch,
1202,21, Payment - GL,2812,11/03/2013,283600,,Staff Lunch,
1202,21, Payment - GL,2813,11/03/2013,114600,,Coffee, Match Box, Tea, MIlk, Sugar,
1202,21, Payment - GL,2826,12/03/2013,183400,,Staff LUnch,
1202,21, Payment - GL,2830,13/03/2013,180800,,Staff LUnch,
1202,21, Payment - GL,2840,14/03/2013,181300,,Staff LUnch,
1202,21, Payment - GL,2846,15/03/2013,173900,,Staff LUnch,
1202,21, Payment - GL,2851,16/03/2013,151400,,Staff LUnch,
1202,21, Payment - GL,2865,18/03/2013,291300,,Staff LUnch,
1202,21, Payment - GL,2869,18/03/2013,112900,,Coffee, Tea, Milk and Sugar,
1202,21, Payment - GL,2876,19/03/2013,224800,,Staff LUnch,
1202,21, Payment - GL,2916,20/03/2013,207400,,Staff Lunch,
1202,21, Payment - GL,2930,21/03/2013,192600,,Staff Lunch,
1202,21, Payment - GL,2942,22/03/2013,178900,,Staff Lunch,
1202,21, Payment - GL,2949,23/03/2013,168400,,Staff Lunch,
1202,21, Payment - GL,3090,23/03/2013,8400,,Milk ,
1202,21, Payment - GL,3015,25/03/2013,280200,,Staff Lunch,
1202,21, Payment - GL,3016,25/03/2013,126500,,Milk, Coffee, Sugar,
1202,21, Payment - GL,3021,26/03/2013,178800,,Staff Lunch,
1202,21, Payment - GL,3027,27/03/2013,15000,,Coffee ,
1202,21, Payment - GL,3033,27/03/2013,190400,,Staff Lunch,
1202,21, Payment - GL,3040,28/03/2013,177400,,Staff meals,
1202,21, Payment - GL,3042,29/03/2013,164800,,Staff Lunch ,
1202,21, Payment - GL,3054,30/03/2013,148800,,Staff Lunch,
1202, 21, Period Total,,,5627900
1202,22, Payment - GL,3062,02/04/2013,412800,,Staff meals,
1202,22, Payment - GL,3069,02/04/2013,115200,,Match box, Sugar,Milk,
1202,22, Payment - GL,3079,03/04/2013,184800,,Staff Lunch,
1202,22, Payment - GL,3111,04/04/2013,176800,,Staff Lunch,
1202,22, Payment - GL,3115,05/04/2013,175400,,Staff Lunch,
1202,22, Payment - GL,3123,06/04/2013,164800,,Staff Lunch,
1202,22, Payment - GL,3130,08/04/2013,124000,,Tea Leaves, Coffee, MIlk, Sugar,
1202,22, Payment - GL,3134,08/04/2013,302700,,Staff Lunch ,
1202,22, Payment - GL,3140,09/04/2013,187400,,Staff Lunch,
1202,22, Payment - GL,3150,10/04/2013,190400,,Staff Lunch,
1202,22, Payment - GL,3158,11/04/2013,189400,,Staff lunch ,
1202,22, Payment - GL,3162,11/04/2013,50000,,Cooking Gas,
1202,22, Payment - GL,3171,12/04/2013,177400,,Staff Lunch,
1202,22, Payment - GL,3183,13/04/2013,163400,,Staff Lunch,
1202,22, Payment - GL,3190,15/04/2013,292800,,Staff LUnch,
1202,22, Payment - GL,3192,15/04/2013,114500,,Tea, Sugar, Milk,
1202,22, Payment - GL,3202,16/04/2013,185400,,Staff LUnch,
1202,22, Payment - GL,3211,17/04/2013,192400,,Staff Lunch,
1202,22, Payment - GL,3215,18/04/2013,195400,,Staff LUnch,
1202,22, Payment - GL,3220,19/04/2013,185400,,Staff Lunch,
1202,22, Payment - GL,3229,20/04/2013,157300,,Staff Lunch ,
1202,22, Payment - GL,3234,22/04/2013,292000,,Staff Lunch ,
1202,22, Payment - GL,3236,22/04/2013,114500,,Tea, Milk, Sugar,
1202,22, Payment - GL,3247,23/04/2013,181400,,Staff Lunch,
1202,22, Payment - GL,3253,24/04/2013,183400,,Staff LUnch,
1202,22, Payment - GL,3260,25/04/2013,190900,,Staff Lunch,
1202,22, Payment - GL,3268,26/04/2013,180400,,Staff LUnch,
1202,22, Payment - GL,3277,27/04/2013,150800,,Staff LUnch,
1202,22, Payment - GL,3281,29/04/2013,157700,,Staff Lunch,
1202,22, Payment - GL,3288,29/04/2013,113500,,Coffee, Sugar and Milk,
1202, 22, Period Total,,,5502300
1202,23, Payment - GL,3343,01/05/2013,478400,,Staff Lunch ,
1202,23, Payment - GL,3333,02/05/2013,180800,,Staff Lunch,
1202,23, Payment - GL,3339,03/05/2013,185400,,Staff Lunch,
1202,23, Payment - GL,3341,03/05/2013,700,,Match boxes,
1202,23, Payment - GL,3347,04/05/2013,166800,,Staff Lunch,
1202,23, Payment - GL,3357,06/05/2013,124000,,MIlk, Sugar, Tea Leaves, Coffee,
1202,23, Payment - GL,3366,07/05/2013,467800,,Staff Lunch,
1202,23, Payment - GL,3371,08/05/2013,196800,,Staff LUnch ,
1202,23, Payment - GL,3388,09/05/2013,198800,,Staff Lunch,
1202,23, Payment - GL,3391,10/05/2013,201400,,Staff Lunch,
1202,23, Payment - GL,3403,11/05/2013,170800,,Staff Lunch,
1202,23, Payment - GL,3407,13/05/2013,295600,,Staff LUnch,
1202,23, Payment - GL,3411,13/05/2013,113000,,Coffee, Milk, Sugar,
1202,23, Payment - GL,3422,14/05/2013,184800,,Staff Lunch,
1202,23, Payment - GL,3431,15/05/2013,50000,,Cooking gas,
1202,23, Payment - GL,3434,15/05/2013,194300,,Staff Lunch ,
1202,23, Payment - GL,3436,16/05/2013,187800,,Staff Lunch,
1202,23, Payment - GL,3444,17/05/2013,180800,,Staff LUnch,
1202,23, Payment - GL,3449,18/05/2013,166800,,Staff Lunch to Erina,
1202,23, Payment - GL,3457,20/05/2013,124000,,Tea, Coffee, Milk, Sugar,
1202,23, Payment - GL,3464,20/05/2013,281600,,Staff Lunch,
1202,23, Payment - GL,3471,21/05/2013,198800,,Staff Lunch,
1202,23, Payment - GL,3480,22/05/2013,182800,,Staff Lunch,
1202,23, Payment - GL,3486,23/05/2013,180800,,Staff Lunch ,
1202,23, Payment - GL,3496,24/05/2013,178800,,Staff lunch,
1202,23, Payment - GL,3500,25/05/2013,164800,,Staff Lunch,
1202,23, Payment - GL,3501,27/05/2013,124000,,Star Coffee, Tea, MIlk, Sugar,
1202,23, Payment - GL,3507,27/05/2013,293600,,Staff Lunch ,
1202,23, Payment - GL,3519,28/05/2013,193200,,Staff Lunch,
1202,23, Payment - GL,3522,28/05/2013,3500,,Sugar,
1202,23, Payment - GL,3531,29/05/2013,181800,,Staff Lunch,
1202,23, Payment - GL,3533,29/05/2013,800,,Match box,
1202,23, Payment - GL,3537,30/05/2013,150000,,Staff Lunch ,
1202,23, Payment - GL,3551,31/05/2013,150000,,Staff Lunch,
1202, 23, Period Total,,,6153300
1202,24, Payment - GL,3553,01/06/2013,154800,,Staff Lunch,
1202,24, Payment - GL,3556,03/06/2013,281000,,Staff LUnch,
1202,24, Payment - GL,3559,03/06/2013,124000,,Coffee, Tea Leaves, Milk,
1202,24, Payment - GL,3565,04/06/2013,180800,,Staff Lunch,
1202,24, Payment - GL,3574,05/06/2013,188800,,Staff Lunch,
1202,24, Payment - GL,3583,06/06/2013,188800,,Staff Lunch,
1202,24, Payment - GL,3587,07/06/2013,186800,,Staff LUnch ,
1202,24, Payment - GL,3596,08/06/2013,174800,,Staff Lunch,
1202,24, Payment - GL,3597,10/06/2013,294000,,Staff LUnch,
1202,24, Payment - GL,3601,10/06/2013,124000,,Sugar, Milk, Coffee, Tea,
1202,24, Payment - GL,3608,11/06/2013,182800,,Staff Lunch,
1202,24, Payment - GL,3616,12/06/2013,188800,,Staff LUnch,
1202,24, Payment - GL,3623,13/06/2013,182800,,Staff LUnch,
1202,24, Payment - GL,3628,14/06/2013,184800,,Staff LUnch,
1202,24, Payment - GL,3634,15/06/2013,162800,,Staff LUnch,
1202,24, Payment - GL,3638,17/06/2013,113000,,Milk, Coffee, Sugar,
1202,24, Payment - GL,3644,17/06/2013,297000,,Staff Lunch,
1202,24, Payment - GL,3648,18/06/2013,194800,,Staff Lunch,
1202,24, Payment - GL,3650,18/06/2013,50000,,Cooking Gas,
1202,24, Payment - GL,3657,19/06/2013,223600,,Staff Lunch,
1202,24, Payment - GL,3664,20/06/2013,215800,,Staff Lunch,
1202,24, Payment - GL,3669,21/06/2013,213600,,Staff Lunch,
1202,24, Payment - GL,3672,22/06/2013,166800,,Staff LUnch,
1202,24, Payment - GL,3677,24/06/2013,113500,,Coffee, SUgar, MIlk,
1202,24, Payment - GL,3685,25/06/2013,494000,,Staff LUnch,
1202,24, Payment - GL,3686,26/06/2013,228500,,Staff LUnch,
1202,24, Payment - GL,3691,27/06/2013,196000,,Staff Lunch,
1202,24, Payment - GL,3697,28/06/2013,191000,,Staff LUnch ,
1202,24, Payment - GL,3706,29/06/2013,11900,,MIlk, Sugar,
1202, 24, Period Total,,,5509300
1202,24, Total Period Movement,,,66408300
